run,threshold_ms,n_times,forward_mean_km,backward_mean_km,left_mean_km,right_mean_km,radius_mean_km,radius_mean_quadrant_km
baserun,17.0,49,310.07701232210076,285.50854378567385,221.94244719750702,405.37893680626604,222.24071535453828,305.7267350278869
baserun,34.0,49,55.32321389618395,32.93726481296194,,73.59025572235616,78.69408929950528,59.66269319132026
baserun,50.0,49,,,,,,
+3K,17.0,49,458.0404966508591,448.0591813053822,397.333167834884,591.5774675114565,322.1717505797557,473.7525783256455
+3K,34.0,49,74.93288632401345,82.03723123726841,112.48409566533569,167.8835269078161,133.18727506482185,108.34435653810934
+3K,50.0,49,,,,,,
+6K,17.0,49,587.2298779204165,614.9662193227575,542.0645757423769,667.4510475137943,400.08765168040134,602.9279301248362
+6K,34.0,49,170.171338845155,166.608143133959,142.82499013221235,183.81013179569655,152.57600612700904,165.31423932499595
+6K,50.0,49,70.47360472993147,108.12760600739718,76.4648874866527,128.9015727025949,105.23756996031771,101.10365256914397
-3K,17.0,49,244.49559507458642,240.11960111003032,274.69515976043806,302.7957947637919,186.26965679490033,264.1283259794313
-3K,34.0,49,,,,,,
-3K,50.0,49,,,,,,
